,id,tabuleiro,size,numero_regioes,tamanho_medio_regiao,dicas,tempo,backtracks,resolvido,assign_from_singletons,hidden_single,naked_pairs,hidden_pairs,naked_triples,hidden_triples
6x6_Suguru-257,Suguru-257,6x6,36,8,4.5,8,0.0020872540007985663,0,True,23,5,2,4,0,0
6x6_Suguru-896,Suguru-896,6x6,36,8,4.5,9,0.0016738300000724848,0,True,24,3,2,2,0,0
6x6_Suguru-914,Suguru-914,6x6,36,8,4.5,10,0.0015032800001790747,0,True,23,3,0,4,0,0
6x6_Suguru-1301,Suguru-1301,6x6,36,8,4.5,7,0.0019140509975841269,0,True,25,4,0,4,4,0
6x6_Suguru-1388,Suguru-1388,6x6,36,8,4.5,7,0.001961587000550935,0,True,22,7,0,5,4,0
6x6_Suguru-1481,Suguru-1481,6x6,36,8,4.5,9,0.0019449409992375877,0,True,22,5,2,1,0,0
6x6_Suguru-1589,Suguru-1589,6x6,36,8,4.5,8,0.0017885610031953547,0,True,19,9,5,5,0,0
6x6_Suguru-116,Suguru-116,6x6,36,8,4.5,8,0.002367443001276115,0,True,22,6,4,4,0,0
6x6_Suguru-240,Suguru-240,6x6,36,8,4.5,8,0.001989773998502642,0,True,20,8,2,2,1,0
6x6_Suguru-455,Suguru-455,6x6,36,9,4.0,7,0.0017143639997811988,0,True,25,4,0,6,0,0
6x6_Suguru-500,Suguru-500,6x6,36,9,4.0,7,0.0016707640024833381,0,True,21,8,4,2,0,0
6x6_Suguru-627,Suguru-627,6x6,36,9,4.0,8,0.0023200370014819782,0,True,20,8,4,3,1,0
6x6_Suguru-639,Suguru-639,6x6,36,9,4.0,6,0.001580755997565575,0,True,23,7,0,7,5,0
6x6_Suguru-724,Suguru-724,6x6,36,8,4.5,6,0.001761446997988969,0,True,25,5,0,8,2,0
6x6_Suguru-865,Suguru-865,6x6,36,8,4.5,7,0.0019115900031465571,0,True,23,6,0,4,0,3
6x6_Suguru-963,Suguru-963,6x6,36,8,4.5,9,0.0018319570008316077,0,True,21,6,0,8,0,0
6x6_Suguru-1084,Suguru-1084,6x6,36,8,4.5,7,0.0023314809986914042,0,True,22,7,5,4,1,0
6x6_Suguru-1165,Suguru-1165,6x6,36,9,4.0,7,0.0021094389994686935,0,True,21,8,0,4,2,3
6x6_Suguru-1210,Suguru-1210,6x6,36,9,4.0,9,0.0016774159994383808,0,True,22,5,4,7,1,0
6x6_Suguru-1280,Suguru-1280,6x6,36,8,4.5,7,0.001887616002932191,0,True,23,6,0,3,4,0
6x6_Suguru-1561,Suguru-1561,6x6,36,9,4.0,6,0.0017006479974952526,0,True,21,9,3,4,0,0
6x6_Suguru-1587,Suguru-1587,6x6,36,8,4.5,7,0.002421168999717338,0,True,25,4,0,3,0,0
