,id,tabuleiro,size,numero_regioes,tamanho_medio_regiao,dificuldade,dicas,tempo,nos_visitados,profundidade_maxima,total_podas,backtracks,resolvido,assign_from_singletons,hidden_single,naked_pairs,hidden_pairs,naked_triples,hidden_triples
6x6_Suguru-257,Suguru-257,6x6,36,8,4.5,1,8,0.0020940240001436905,0,0,34,0,True,23,5,2,4,0,0
6x6_Suguru-896,Suguru-896,6x6,36,8,4.5,1,9,0.0018199299997831986,0,0,31,0,True,24,3,2,2,0,0
6x6_Suguru-914,Suguru-914,6x6,36,8,4.5,1,10,0.0016482790001646208,0,0,30,0,True,23,3,0,4,0,0
6x6_Suguru-1301,Suguru-1301,6x6,36,8,4.5,1,7,0.0019465979999040428,0,0,37,0,True,25,4,0,4,4,0
6x6_Suguru-1388,Suguru-1388,6x6,36,8,4.5,1,7,0.0019170520004081482,0,0,38,0,True,22,7,0,5,4,0
6x6_Suguru-1481,Suguru-1481,6x6,36,8,4.5,1,9,0.0029030949999651057,0,0,30,0,True,22,5,2,1,0,0
6x6_Suguru-1589,Suguru-1589,6x6,36,8,4.5,1,8,0.0017229269997187657,0,0,38,0,True,19,9,5,5,0,0
6x6_Suguru-116,Suguru-116,6x6,36,8,4.5,1,8,0.0024470540001857444,0,0,36,0,True,22,6,4,4,0,0
6x6_Suguru-240,Suguru-240,6x6,36,8,4.5,1,8,0.002275671000006696,0,0,33,0,True,20,8,2,2,1,0
6x6_Suguru-455,Suguru-455,6x6,36,9,4.0,1,7,0.0017976129997805401,0,0,35,0,True,25,4,0,6,0,0
6x6_Suguru-500,Suguru-500,6x6,36,9,4.0,1,7,0.002003759000217542,0,0,35,0,True,21,8,4,2,0,0
6x6_Suguru-627,Suguru-627,6x6,36,9,4.0,1,8,0.0024915720000535657,0,0,36,0,True,20,8,4,3,1,0
6x6_Suguru-639,Suguru-639,6x6,36,9,4.0,1,6,0.0016539490002287494,0,0,42,0,True,23,7,0,7,5,0
6x6_Suguru-724,Suguru-724,6x6,36,8,4.5,1,6,0.0028150579996690794,0,0,40,0,True,25,5,0,8,2,0
6x6_Suguru-865,Suguru-865,6x6,36,8,4.5,1,7,0.002072561000204587,0,0,36,0,True,23,6,0,4,0,3
6x6_Suguru-963,Suguru-963,6x6,36,8,4.5,1,9,0.002882676999888645,0,0,35,0,True,21,6,0,8,0,0
6x6_Suguru-1084,Suguru-1084,6x6,36,8,4.5,1,7,0.0030922319997443992,0,0,39,0,True,22,7,5,4,1,0
6x6_Suguru-1165,Suguru-1165,6x6,36,9,4.0,1,7,0.0025750869999683346,0,0,38,0,True,21,8,0,4,2,3
6x6_Suguru-1210,Suguru-1210,6x6,36,9,4.0,1,9,0.0016885979998733092,0,0,39,0,True,22,5,4,7,1,0
6x6_Suguru-1280,Suguru-1280,6x6,36,8,4.5,1,7,0.003090124000209471,0,0,36,0,True,23,6,0,3,4,0
6x6_Suguru-1561,Suguru-1561,6x6,36,9,4.0,1,6,0.0019416750001255423,0,0,37,0,True,21,9,3,4,0,0
6x6_Suguru-1587,Suguru-1587,6x6,36,8,4.5,1,7,0.0029965709995849465,0,0,32,0,True,25,4,0,3,0,0
6x6_Suguru-45,Suguru-45,6x6,36,8,4.5,1,8,0.002945411999917269,0,0,31,0,True,21,7,0,3,0,0
6x6_Suguru-102,Suguru-102,6x6,36,8,4.5,1,7,0.0032689399999981106,0,0,37,0,True,21,8,5,3,0,0
6x6_Suguru-238,Suguru-238,6x6,36,8,4.5,1,8,0.0035960420000265003,0,0,39,0,True,21,7,0,10,1,0
