,id,tabuleiro,size,numero_regioes,tamanho_medio_regiao,dificuldade,dicas,tempo,nos_visitados,profundidade_maxima,total_podas,backtracks,resolvido,assign_from_singletons,hidden_single,naked_pairs,hidden_pairs,naked_triples,hidden_triples
6x6_Suguru-257,Suguru-257,6x6,36,8,4.5,1,8,0.0018632430001161993,0,0,36,0,True,23,5,2,0,6,0
6x6_Suguru-896,Suguru-896,6x6,36,8,4.5,1,9,0.00168855999072548,0,0,30,0,True,24,3,2,0,1,0
6x6_Suguru-914,Suguru-914,6x6,36,8,4.5,1,10,0.001200775004690513,0,0,32,0,True,23,3,0,0,6,0
6x6_Suguru-1301,Suguru-1301,6x6,36,8,4.5,1,7,0.0017273749981541187,0,0,41,0,True,25,4,0,0,10,2
6x6_Suguru-1388,Suguru-1388,6x6,36,8,4.5,1,7,0.0016247509920503944,0,0,42,0,True,22,7,0,0,13,0
6x6_Suguru-1481,Suguru-1481,6x6,36,8,4.5,1,9,0.002193666994571686,0,0,30,0,True,22,5,2,0,1,0
6x6_Suguru-1589,Suguru-1589,6x6,36,8,4.5,1,8,0.0015957430005073547,0,0,38,0,True,19,9,5,0,5,0
6x6_Suguru-116,Suguru-116,6x6,36,8,4.5,1,8,0.002031598996836692,0,0,40,0,True,22,6,4,0,8,0
6x6_Suguru-240,Suguru-240,6x6,36,8,4.5,1,8,0.0017908959998749197,0,0,35,0,True,20,8,2,0,4,1
6x6_Suguru-455,Suguru-455,6x6,36,9,4.0,1,7,0.0015425830060848966,0,0,37,0,True,25,4,0,0,8,0
6x6_Suguru-500,Suguru-500,6x6,36,9,4.0,1,7,0.0015623259969288483,0,0,34,0,True,21,8,4,0,1,0
6x6_Suguru-627,Suguru-627,6x6,36,9,4.0,1,8,0.0020027279970236123,0,0,38,0,True,20,8,4,0,6,0
6x6_Suguru-639,Suguru-639,6x6,36,9,4.0,1,6,0.0013867919915355742,0,0,48,0,True,23,7,0,0,17,1
6x6_Suguru-724,Suguru-724,6x6,36,8,4.5,1,6,0.0014541819982696325,0,0,46,0,True,26,4,0,0,14,2
6x6_Suguru-865,Suguru-865,6x6,36,8,4.5,1,7,0.002843559006578289,0,0,37,0,True,23,6,0,0,5,3
6x6_Suguru-963,Suguru-963,6x6,36,8,4.5,1,9,0.0030192510021151975,0,0,38,0,True,21,6,0,0,10,1
6x6_Suguru-1084,Suguru-1084,6x6,36,8,4.5,1,7,0.0037755519879283383,0,0,42,0,True,22,7,5,0,8,0
6x6_Suguru-1165,Suguru-1165,6x6,36,9,4.0,1,7,0.003149933007080108,0,0,38,0,True,21,8,0,0,6,3
6x6_Suguru-1210,Suguru-1210,6x6,36,9,4.0,1,9,0.0029794269939884543,0,0,40,0,True,22,5,4,0,9,0
6x6_Suguru-1280,Suguru-1280,6x6,36,8,4.5,1,7,0.003541033001965843,0,0,37,0,True,23,6,0,0,6,2
6x6_Suguru-1561,Suguru-1561,6x6,36,9,4.0,1,6,0.002912336989538744,0,0,36,0,True,21,9,3,0,3,0
6x6_Suguru-1587,Suguru-1587,6x6,36,8,4.5,1,7,0.0033131279924418777,0,0,32,0,True,25,4,0,0,3,0
6x6_Suguru-45,Suguru-45,6x6,36,8,4.5,1,8,0.002816309002810158,0,0,31,0,True,21,7,0,0,3,0
6x6_Suguru-102,Suguru-102,6x6,36,8,4.5,1,7,0.003054963002796285,0,0,37,0,True,21,8,5,0,3,0
6x6_Suguru-238,Suguru-238,6x6,36,8,4.5,1,8,0.005212351999944076,0,0,42,0,True,21,7,0,0,13,1
6x6_Suguru-367,Suguru-367,6x6,36,8,4.5,1,7,0.002547921991208568,0,0,38,0,True,23,6,0,0,9,0
6x6_Suguru-450,Suguru-450,6x6,36,8,4.5,1,8,0.003279930999269709,0,0,35,0,True,18,10,0,0,7,0
6x6_Suguru-498,Suguru-498,6x6,36,8,4.5,1,9,0.0027078330022050068,0,0,36,0,True,21,6,4,0,5,0
6x6_Suguru-506,Suguru-506,6x6,36,9,4.0,1,7,0.0023915589990792796,0,0,38,0,True,22,7,2,0,4,3
6x6_Suguru-532,Suguru-532,6x6,36,8,4.5,1,6,0.0021677879994967952,0,0,35,0,True,22,8,4,0,1,0
6x6_Suguru-541,Suguru-541,6x6,36,8,4.5,1,8,0.0023559209948871285,0,0,35,0,True,20,8,2,0,5,0
6x6_Suguru-544,Suguru-544,6x6,36,8,4.5,1,10,0.0019795029947999865,0,0,35,0,True,23,3,0,0,9,0
6x6_Suguru-651,Suguru-651,6x6,36,8,4.5,1,7,0.002207368001108989,0,0,39,0,True,22,7,2,0,7,1
6x6_Suguru-675,Suguru-675,6x6,36,8,4.5,1,7,0.0017959980032173917,0,0,34,0,True,24,5,2,0,3,0
6x6_Suguru-797,Suguru-797,6x6,36,8,4.5,1,6,0.0025844259944278747,0,0,42,0,True,22,8,2,0,10,0
6x6_Suguru-803,Suguru-803,6x6,36,8,4.5,1,7,0.0021092539973324165,0,0,39,0,True,21,8,0,0,10,0
6x6_Suguru-838,Suguru-838,6x6,36,9,4.0,1,6,0.001900046001537703,0,0,41,0,True,22,8,2,0,9,0
6x6_Suguru-1157,Suguru-1157,6x6,36,9,4.0,1,5,0.002003189001698047,0,0,45,0,True,24,7,3,0,11,0
6x6_Suguru-1185,Suguru-1185,6x6,36,8,4.5,1,6,0.0021942460007267073,0,0,43,0,True,24,6,2,0,11,0
6x6_Suguru-1199,Suguru-1199,6x6,36,8,4.5,1,7,0.0017697730072541162,0,0,37,0,True,20,9,4,0,4,0
6x6_Suguru-1234,Suguru-1234,6x6,36,9,4.0,1,6,0.0016329080099239945,0,0,52,0,True,26,4,4,0,16,2
6x6_Suguru-1300,Suguru-1300,6x6,36,9,4.0,1,8,0.001814202987588942,0,0,43,0,True,21,7,4,0,11,0
6x6_Suguru-1339,Suguru-1339,6x6,36,8,4.5,1,7,0.0020448569994186983,0,0,36,0,True,23,6,0,0,7,0
6x6_Suguru-1346,Suguru-1346,6x6,36,9,4.0,1,6,0.002152664994355291,0,0,43,0,True,23,7,4,0,9,0
6x6_Suguru-1408,Suguru-1408,6x6,36,8,4.5,1,9,0.00150527800724376,0,0,39,0,True,24,3,4,0,6,2
6x6_Suguru-1420,Suguru-1420,6x6,36,8,4.5,1,6,0.0019957740005338565,0,0,37,0,True,23,7,2,0,5,0
6x6_Suguru-1476,Suguru-1476,6x6,36,8,4.5,1,7,0.0024167359952116385,0,0,36,0,True,23,6,2,0,5,0
6x6_Suguru-1527,Suguru-1527,6x6,36,8,4.5,1,6,0.0014026049902895465,0,0,41,0,True,22,8,6,0,5,0
6x6_Suguru-1530,Suguru-1530,6x6,36,9,4.0,1,7,0.0019802099996013567,0,0,40,0,True,23,6,0,0,10,1
6x6_Suguru-13,Suguru-13,6x6,36,8,4.5,1,7,0.0021683390077669173,0,0,40,0,True,19,10,0,0,11,0
8x8_Suguru-89,Suguru-89,8x8,64,14,4.571428571428571,1,12,0.0028418610017979518,0,0,61,0,True,42,10,0,0,9,0
8x8_Suguru-823,Suguru-823,8x8,64,14,4.571428571428571,1,15,0.004285240996978246,0,0,72,0,True,39,10,4,0,17,2
8x8_Suguru-871,Suguru-871,8x8,64,14,4.571428571428571,1,11,0.004979712990461849,0,0,75,0,True,44,9,3,0,15,4
8x8_Suguru-759,Suguru-759,8x8,64,15,4.266666666666667,1,9,0.0051523889997042716,0,0,74,0,True,43,12,6,0,12,1
8x8_Suguru-322,Suguru-322,8x8,64,15,4.266666666666667,1,10,0.006491141990409233,0,0,74,0,True,37,17,7,0,13,0
8x8_Suguru-1177,Suguru-1177,8x8,64,14,4.571428571428571,2,13,0.0077566910040332004,2,1,79,0,True,41,12,5,0,19,2
8x8_Suguru-398,Suguru-398,8x8,64,14,4.571428571428571,2,12,0.005927955993684009,1,1,65,0,True,41,9,0,0,15,0
8x8_Suguru-807,Suguru-807,8x8,64,15,4.266666666666667,2,9,0.033745705004548654,7,3,179,2,True,101,31,16,0,30,1
8x8_Suguru-958,Suguru-958,8x8,64,14,4.571428571428571,2,11,0.018271431006724015,7,4,74,0,True,50,9,3,0,11,1
8x8_Suguru-1380,Suguru-1380,8x8,64,15,4.266666666666667,2,8,0.02486525299900677,9,5,129,0,True,80,19,6,0,21,3
8x8_Suguru-1397,Suguru-1397,8x8,64,14,4.571428571428571,2,14,0.011476091996883042,4,1,74,0,True,45,14,0,0,15,0
8x8_Suguru-1432,Suguru-1432,8x8,64,13,4.923076923076923,1,14,0.007098867994500324,0,0,65,0,True,38,12,3,0,10,2
8x8_Suguru-349,Suguru-349,8x8,64,14,4.571428571428571,2,13,0.03961575801076833,11,6,129,3,True,77,23,4,0,25,0
8x8_Suguru-952,Suguru-952,8x8,64,15,4.266666666666667,2,12,0.007665117998840287,2,1,88,0,True,52,9,14,0,13,0
8x8_Suguru-1122,Suguru-1122,8x8,64,14,4.571428571428571,2,11,0.007272741000633687,1,1,86,0,True,43,8,5,0,24,6
8x8_Suguru-30,Suguru-30,8x8,64,14,4.571428571428571,2,12,0.00790448700718116,1,1,69,0,True,37,13,7,0,8,4
8x8_Suguru-158,Suguru-158,8x8,64,15,4.266666666666667,2,9,0.006586244999198243,1,1,68,0,True,39,14,2,0,13,0
8x8_Suguru-199,Suguru-199,8x8,64,13,4.923076923076923,2,14,0.08750247399439104,22,7,440,11,True,203,40,108,0,77,12
8x8_Suguru-493,Suguru-493,8x8,64,15,4.266666666666667,2,7,0.014213053000275977,3,3,65,0,True,40,10,3,0,10,2
8x8_Suguru-531,Suguru-531,8x8,64,14,4.571428571428571,2,11,0.01560946500103455,4,3,87,0,True,54,14,5,0,12,2
8x8_Suguru-618,Suguru-618,8x8,64,13,4.923076923076923,2,13,0.006711754002026282,1,1,73,0,True,44,5,5,0,18,1
8x8_Suguru-752,Suguru-752,8x8,64,15,4.266666666666667,2,7,0.0778289909940213,29,5,521,9,True,363,87,14,0,57,0
8x8_Suguru-774,Suguru-774,8x8,64,15,4.266666666666667,2,7,0.009601970989024267,2,1,114,0,True,66,25,7,0,13,3
8x8_Suguru-906,Suguru-906,8x8,64,14,4.571428571428571,2,10,0.008397640005568974,1,1,64,0,True,41,11,4,0,5,3
8x8_Suguru-1208,Suguru-1208,8x8,64,14,4.571428571428571,2,9,0.021898090999457054,8,4,73,0,True,51,13,0,0,8,1
8x8_Suguru-1271,Suguru-1271,8x8,64,13,4.923076923076923,2,11,0.00931856500392314,1,1,74,0,True,38,13,4,0,18,1
8x8_Suguru-1297,Suguru-1297,8x8,64,14,4.571428571428571,2,10,0.011099722003564239,3,2,57,0,True,46,7,0,0,3,1
8x8_Suguru-21,Suguru-21,8x8,64,14,4.571428571428571,2,10,0.020928971003741026,7,2,158,0,True,98,17,4,0,37,2
8x8_Suguru-112,Suguru-112,8x8,64,14,4.571428571428571,2,8,0.016540992990485393,4,2,96,0,True,57,17,5,0,17,0
8x8_Suguru-834,Suguru-834,8x8,64,13,4.923076923076923,2,15,0.05709624399605673,13,5,381,6,True,216,52,58,0,44,11
8x8_Suguru-888,Suguru-888,8x8,64,14,4.571428571428571,2,12,0.010204341990174726,3,2,73,0,True,38,12,6,0,17,0
8x8_Suguru-1381,Suguru-1381,8x8,64,14,4.571428571428571,3,11,0.013953136003692634,3,1,100,0,True,51,23,2,0,24,0
8x8_Suguru-148,Suguru-148,8x8,64,14,4.571428571428571,2,12,0.009878987999400124,3,3,56,0,True,34,11,5,0,6,0
8x8_Suguru-496,Suguru-496,8x8,64,13,4.923076923076923,3,12,0.00841553600912448,2,1,81,0,True,44,10,10,0,10,7
8x8_Suguru-725,Suguru-725,8x8,64,15,4.266666666666667,2,8,0.020118008003919385,6,4,131,0,True,70,21,18,0,20,2
8x8_Suguru-1142,Suguru-1142,8x8,64,13,4.923076923076923,2,12,0.0575452939956449,16,6,184,4,True,113,39,8,0,22,2
8x8_Suguru-1386,Suguru-1386,8x8,64,14,4.571428571428571,2,8,0.015967622006428428,5,3,86,0,True,42,17,2,0,25,0
8x8_Suguru-1456,Suguru-1456,8x8,64,15,4.266666666666667,3,13,0.01566581000224687,5,4,65,0,True,33,14,5,0,13,0
8x8_Suguru-1562,Suguru-1562,8x8,64,14,4.571428571428571,2,9,0.04917622198991012,15,7,229,3,True,134,39,10,0,38,8
8x8_Suguru-51,Suguru-51,8x8,64,15,4.266666666666667,2,6,0.02246250500320457,7,5,114,0,True,59,23,6,0,20,6
8x8_Suguru-259,Suguru-259,8x8,64,13,4.923076923076923,3,11,0.010562385999946855,2,1,81,0,True,37,16,3,0,25,0
8x8_Suguru-292,Suguru-292,8x8,64,14,4.571428571428571,2,10,0.11193820500920992,20,7,787,11,True,514,78,25,0,140,30
8x8_Suguru-461,Suguru-461,8x8,64,15,4.266666666666667,2,11,0.014692383992951363,4,3,93,0,True,57,15,3,0,18,0
8x8_Suguru-586,Suguru-586,8x8,64,14,4.571428571428571,2,9,0.06950807699467987,21,9,216,8,True,151,29,6,0,30,0
8x8_Suguru-771,Suguru-771,8x8,64,15,4.266666666666667,2,7,0.01045168201380875,3,3,75,0,True,38,12,2,0,23,0
8x8_Suguru-890,Suguru-890,8x8,64,15,4.266666666666667,2,9,0.01468099799240008,4,4,65,0,True,37,10,4,0,12,2
8x8_Suguru-1119,Suguru-1119,8x8,64,14,4.571428571428571,3,13,0.01833482900110539,6,4,101,0,True,66,10,6,0,19,0
8x8_Suguru-1160,Suguru-1160,8x8,64,14,4.571428571428571,2,7,0.026239105995045975,10,5,147,0,True,59,12,14,0,16,46
8x8_Suguru-1452,Suguru-1452,8x8,64,14,4.571428571428571,2,9,0.02469472400844097,8,4,103,0,True,65,10,6,0,22,0
8x8_Suguru-1490,Suguru-1490,8x8,64,13,4.923076923076923,2,15,0.010330453995265998,2,1,83,0,True,48,15,2,0,18,0
15x10n=6_Suguru-487,Suguru-487,15x10n=6,150,25,6.0,3,49,0.054036221001297235,4,3,134,0,True,84,19,6,0,25,0
15x10n=6_Suguru-15,Suguru-15,15x10n=6,150,27,5.555555555555555,2,41,0.09870448200672399,10,5,149,1,True,91,24,4,0,30,0
15x10n=6_Suguru-456,Suguru-456,15x10n=6,150,27,5.555555555555555,2,41,0.10269106399209704,8,4,211,1,True,112,40,7,0,52,0
15x10n=6_Suguru-525,Suguru-525,15x10n=6,150,26,5.769230769230769,3,47,1.693881719998899,119,7,4291,50,True,2208,385,561,0,912,225
15x10n=6_Suguru-679,Suguru-679,15x10n=6,150,27,5.555555555555555,3,43,0.24552310300350655,29,13,370,2,True,187,53,27,0,71,32
15x10n=6_Suguru-775,Suguru-775,15x10n=6,150,27,5.555555555555555,3,38,0.2129265979892807,24,10,321,3,True,145,51,83,0,38,4
15x10n=6_Suguru-26,Suguru-26,15x10n=6,150,26,5.769230769230769,3,45,0.10280338299344294,11,8,185,0,True,114,29,11,0,31,0
15x10n=6_Suguru-332,Suguru-332,15x10n=6,150,26,5.769230769230769,3,41,4.302311361010652,384,9,9213,217,True,5147,1106,837,0,1981,142
15x10n=6_Suguru-592,Suguru-592,15x10n=6,150,26,5.769230769230769,3,45,0.14390055499097798,14,6,243,2,True,141,36,16,0,46,4
15x10n=6_Suguru-399,Suguru-399,15x10n=6,150,27,5.555555555555555,3,49,0.06222780900134239,6,4,154,0,True,87,26,19,0,20,2
15x10n=6_Suguru-458,Suguru-458,15x10n=6,150,28,5.357142857142857,3,39,0.12924268099595793,13,11,150,2,True,80,35,17,0,17,1
15x10n=6_Suguru-567,Suguru-567,15x10n=6,150,27,5.555555555555555,3,41,0.8887315430038143,86,13,1086,35,True,579,120,43,0,288,56
15x10n=6_Suguru-693,Suguru-693,15x10n=6,150,26,5.769230769230769,3,47,0.09996310700080357,11,10,119,0,True,62,24,10,0,23,0
15x10n=6_Suguru-314,Suguru-314,15x10n=6,150,27,5.555555555555555,3,42,0.29041383501316886,35,9,382,9,True,198,81,34,0,63,6
15x10n=6_Suguru-512,Suguru-512,15x10n=6,150,26,5.769230769230769,3,47,0.4687921480071964,49,12,566,14,True,329,80,102,0,49,6
15x10n=6_Suguru-722,Suguru-722,15x10n=6,150,27,5.555555555555555,2,43,0.1637447030079784,11,4,523,3,True,255,65,55,0,128,20
15x10n=6_Suguru-21,Suguru-21,15x10n=6,150,28,5.357142857142857,2,40,0.2520632310042856,27,11,318,6,True,190,46,51,0,31,0
15x10n=6_Suguru-91,Suguru-91,15x10n=6,150,27,5.555555555555555,3,40,0.20143202200415544,19,11,256,0,True,150,32,19,0,44,11
15x10n=6_Suguru-123,Suguru-123,15x10n=6,150,27,5.555555555555555,3,40,0.740948101010872,69,12,1232,30,True,729,165,112,0,210,16
15x10n=6_Suguru-620,Suguru-620,15x10n=6,150,27,5.555555555555555,3,40,0.10641780999139883,9,6,225,0,True,120,34,23,0,46,2
15x10n=6_Suguru-629,Suguru-629,15x10n=6,150,27,5.555555555555555,2,43,0.11505939799826592,11,5,154,3,True,102,30,4,0,18,0
