,id,tabuleiro,size,numero_regioes,tamanho_medio_regiao,dificuldade,dicas,tempo,nos_visitados,profundidade_maxima,total_podas,backtracks,resolvido,assign_from_singletons,hidden_single,naked_pairs,hidden_pairs,naked_triples,hidden_triples
6x6_Suguru-257,Suguru-257,6x6,36,8,4.5,1,8,0.002727681989199482,0,0,38,0,True,28,0,2,8,0,0
6x6_Suguru-896,Suguru-896,6x6,36,8,4.5,1,9,0.002799968991894275,0,0,34,0,True,27,0,3,4,0,0
6x6_Suguru-914,Suguru-914,6x6,36,8,4.5,1,10,0.002289674011990428,0,0,27,0,True,26,0,0,1,0,0
6x6_Suguru-1301,Suguru-1301,6x6,36,8,4.5,1,7,0.0028040489996783435,0,0,35,0,True,29,0,4,2,0,0
6x6_Suguru-1388,Suguru-1388,6x6,36,8,4.5,1,7,0.002441611999529414,0,0,36,0,True,29,0,4,3,0,0
6x6_Suguru-1481,Suguru-1481,6x6,36,8,4.5,1,9,0.0027701350045390427,0,0,37,0,True,27,0,6,2,2,0
6x6_Suguru-1589,Suguru-1589,6x6,36,8,4.5,1,8,0.003522640996379778,0,0,41,0,True,28,0,10,3,0,0
6x6_Suguru-116,Suguru-116,6x6,36,8,4.5,1,8,0.003803729996434413,0,0,39,0,True,28,0,7,4,0,0
6x6_Suguru-240,Suguru-240,6x6,36,8,4.5,1,8,0.00478472099348437,0,0,47,0,True,28,0,15,4,0,0
6x6_Suguru-455,Suguru-455,6x6,36,9,4.0,1,7,0.004470399013371207,0,0,41,0,True,29,0,4,8,0,0
6x6_Suguru-500,Suguru-500,6x6,36,9,4.0,1,7,0.004419926000991836,0,0,47,0,True,29,0,8,10,0,0
6x6_Suguru-627,Suguru-627,6x6,36,9,4.0,1,8,0.004482533986447379,0,0,37,0,True,28,0,2,7,0,0
6x6_Suguru-639,Suguru-639,6x6,36,9,4.0,1,6,0.0031476349977310747,0,0,49,0,True,30,0,4,11,4,0
6x6_Suguru-724,Suguru-724,6x6,36,8,4.5,1,6,0.0019988809945061803,0,0,40,0,True,30,0,0,8,2,0
6x6_Suguru-865,Suguru-865,6x6,36,8,4.5,1,7,0.0050399519968777895,0,0,36,0,True,29,0,0,7,0,0
6x6_Suguru-963,Suguru-963,6x6,36,8,4.5,1,9,0.003087586010224186,0,0,37,0,True,27,0,2,7,1,0
6x6_Suguru-1084,Suguru-1084,6x6,36,8,4.5,1,7,0.0027881840069312602,0,0,42,0,True,29,0,11,2,0,0
6x6_Suguru-1165,Suguru-1165,6x6,36,9,4.0,1,7,0.01319847599370405,2,1,73,0,True,44,0,13,14,2,0
6x6_Suguru-1210,Suguru-1210,6x6,36,9,4.0,1,9,0.005712204991141334,0,0,32,0,True,27,0,2,3,0,0
6x6_Suguru-1280,Suguru-1280,6x6,36,8,4.5,1,7,0.0038035149918869138,0,0,37,0,True,29,0,2,5,1,0
6x6_Suguru-1561,Suguru-1561,6x6,36,9,4.0,1,6,0.0025152269954560325,0,0,46,0,True,30,0,4,12,0,0
6x6_Suguru-1587,Suguru-1587,6x6,36,8,4.5,1,7,0.0022162899986142293,0,0,32,0,True,29,0,0,3,0,0
6x6_Suguru-45,Suguru-45,6x6,36,8,4.5,1,8,0.003563623991794884,1,1,27,0,True,25,0,0,2,0,0
6x6_Suguru-102,Suguru-102,6x6,36,8,4.5,1,7,0.0037371660000644624,0,0,39,0,True,29,0,7,3,0,0
6x6_Suguru-238,Suguru-238,6x6,36,8,4.5,1,8,0.005021781005780213,0,0,45,0,True,28,0,10,4,2,1
6x6_Suguru-367,Suguru-367,6x6,36,8,4.5,1,7,0.003479617997072637,0,0,39,0,True,29,0,6,4,0,0
6x6_Suguru-450,Suguru-450,6x6,36,8,4.5,1,8,0.0024651790008647367,0,0,45,0,True,28,0,4,9,4,0
6x6_Suguru-498,Suguru-498,6x6,36,8,4.5,1,9,0.0033685820089885965,0,0,35,0,True,27,0,1,6,1,0
