,id,tabuleiro,size,numero_regioes,tamanho_medio_regiao,dificuldade,dicas,tempo,nos_visitados,profundidade_maxima,total_podas,backtracks,resolvido,assign_from_singletons,hidden_single,naked_pairs,hidden_pairs,naked_triples,hidden_triples
6x6_Suguru-257,Suguru-257,6x6,36,8,4.5,1,8,0.0013698300026590005,0,0,34,0,True,23,5,2,4,0,0
6x6_Suguru-896,Suguru-896,6x6,36,8,4.5,1,9,0.0012611540005309507,0,0,31,0,True,24,3,2,2,0,0
6x6_Suguru-914,Suguru-914,6x6,36,8,4.5,1,10,0.0012383909925119951,0,0,30,0,True,23,3,0,4,0,0
6x6_Suguru-1301,Suguru-1301,6x6,36,8,4.5,1,7,0.001466867994167842,0,0,37,0,True,25,4,0,4,4,0
6x6_Suguru-1388,Suguru-1388,6x6,36,8,4.5,1,7,0.0013490420096786693,0,0,38,0,True,22,7,0,5,4,0
6x6_Suguru-1481,Suguru-1481,6x6,36,8,4.5,1,9,0.0012715399934677407,0,0,30,0,True,22,5,2,1,0,0
6x6_Suguru-1589,Suguru-1589,6x6,36,8,4.5,1,8,0.0012351760087767616,0,0,38,0,True,19,9,5,5,0,0
6x6_Suguru-116,Suguru-116,6x6,36,8,4.5,1,8,0.0016390969976782799,0,0,36,0,True,22,6,4,4,0,0
6x6_Suguru-240,Suguru-240,6x6,36,8,4.5,1,8,0.0012781490077031776,0,0,33,0,True,20,8,2,2,1,0
6x6_Suguru-455,Suguru-455,6x6,36,9,4.0,1,7,0.0011549710034159943,0,0,35,0,True,25,4,0,6,0,0
6x6_Suguru-500,Suguru-500,6x6,36,9,4.0,1,7,0.0011726700031431392,0,0,35,0,True,21,8,4,2,0,0
6x6_Suguru-627,Suguru-627,6x6,36,9,4.0,1,8,0.0016010480030672625,0,0,36,0,True,20,8,4,3,1,0
6x6_Suguru-639,Suguru-639,6x6,36,9,4.0,1,6,0.0011081949924118817,0,0,42,0,True,23,7,0,7,5,0
6x6_Suguru-724,Suguru-724,6x6,36,8,4.5,1,6,0.0011429260048316792,0,0,40,0,True,25,5,0,8,2,0
6x6_Suguru-865,Suguru-865,6x6,36,8,4.5,1,7,0.0016998909995891154,0,0,33,0,True,23,6,0,4,0,0
6x6_Suguru-963,Suguru-963,6x6,36,8,4.5,1,9,0.0012405710003804415,0,0,35,0,True,21,6,0,8,0,0
6x6_Suguru-1084,Suguru-1084,6x6,36,8,4.5,1,7,0.001568448991747573,0,0,39,0,True,22,7,5,4,1,0
6x6_Suguru-1165,Suguru-1165,6x6,36,9,4.0,1,7,0.0017419080104446039,0,0,38,0,True,20,9,0,7,2,0
6x6_Suguru-1210,Suguru-1210,6x6,36,9,4.0,1,9,0.0011226219939999282,0,0,39,0,True,22,5,4,7,1,0
6x6_Suguru-1280,Suguru-1280,6x6,36,8,4.5,1,7,0.0013105889956932515,0,0,36,0,True,23,6,0,3,4,0
6x6_Suguru-1561,Suguru-1561,6x6,36,9,4.0,1,6,0.0011665790079860017,0,0,37,0,True,21,9,3,4,0,0
6x6_Suguru-1587,Suguru-1587,6x6,36,8,4.5,1,7,0.0013303330051712692,0,0,32,0,True,25,4,0,3,0,0
6x6_Suguru-45,Suguru-45,6x6,36,8,4.5,1,8,0.0016248739993898198,0,0,31,0,True,21,7,0,3,0,0
6x6_Suguru-102,Suguru-102,6x6,36,8,4.5,1,7,0.001669878009124659,0,0,37,0,True,21,8,5,3,0,0
6x6_Suguru-238,Suguru-238,6x6,36,8,4.5,1,8,0.0022930129925953224,0,0,39,0,True,21,7,0,10,1,0
6x6_Suguru-367,Suguru-367,6x6,36,8,4.5,1,7,0.0016482070059282705,0,0,34,0,True,23,6,0,5,0,0
6x6_Suguru-450,Suguru-450,6x6,36,8,4.5,1,8,0.001514952993602492,0,0,34,0,True,18,10,0,6,0,0
6x6_Suguru-498,Suguru-498,6x6,36,8,4.5,1,9,0.001588825005455874,0,0,36,0,True,21,6,4,5,0,0
6x6_Suguru-506,Suguru-506,6x6,36,9,4.0,1,7,0.0020248829969204962,0,0,34,0,True,20,9,2,1,2,0
6x6_Suguru-532,Suguru-532,6x6,36,8,4.5,1,6,0.0014994359953561798,0,0,35,0,True,22,8,4,1,0,0
6x6_Suguru-541,Suguru-541,6x6,36,8,4.5,1,8,0.0019409859960433096,0,0,34,0,True,20,8,2,3,1,0
6x6_Suguru-544,Suguru-544,6x6,36,8,4.5,1,10,0.0015423439908772707,0,0,33,0,True,23,3,0,6,1,0
6x6_Suguru-651,Suguru-651,6x6,36,8,4.5,1,7,0.0016519509954378009,0,0,37,0,True,22,7,2,5,1,0
6x6_Suguru-675,Suguru-675,6x6,36,8,4.5,1,7,0.0015638930053682998,0,0,33,0,True,24,5,2,2,0,0
6x6_Suguru-797,Suguru-797,6x6,36,8,4.5,1,6,0.0016082069923868403,0,0,36,0,True,22,8,2,4,0,0
6x6_Suguru-803,Suguru-803,6x6,36,8,4.5,1,7,0.002264367009047419,0,0,36,0,True,21,8,0,7,0,0
6x6_Suguru-838,Suguru-838,6x6,36,9,4.0,1,6,0.0024612230045022443,0,0,38,0,True,22,8,2,6,0,0
6x6_Suguru-1157,Suguru-1157,6x6,36,9,4.0,1,5,0.002533927996410057,0,0,39,0,True,24,7,3,5,0,0
6x6_Suguru-1185,Suguru-1185,6x6,36,8,4.5,1,6,0.003170531999785453,0,0,39,0,True,24,6,2,7,0,0
6x6_Suguru-1199,Suguru-1199,6x6,36,8,4.5,1,7,0.002829942008247599,0,0,35,0,True,20,9,4,2,0,0
6x6_Suguru-1234,Suguru-1234,6x6,36,9,4.0,1,6,0.0019548599957488477,0,0,47,0,True,26,4,4,8,5,0
6x6_Suguru-1300,Suguru-1300,6x6,36,9,4.0,1,8,0.0026335420116083696,0,0,40,0,True,21,7,4,8,0,0
6x6_Suguru-1339,Suguru-1339,6x6,36,8,4.5,1,7,0.0025219919916708022,0,0,35,0,True,23,6,0,6,0,0
6x6_Suguru-1346,Suguru-1346,6x6,36,9,4.0,1,6,0.002903154003433883,0,0,40,0,True,23,7,4,6,0,0
6x6_Suguru-1408,Suguru-1408,6x6,36,8,4.5,1,9,0.002161465003155172,0,0,37,0,True,24,3,4,3,3,0
6x6_Suguru-1420,Suguru-1420,6x6,36,8,4.5,1,6,0.0020379049965413287,0,0,36,0,True,23,7,2,4,0,0
6x6_Suguru-1476,Suguru-1476,6x6,36,8,4.5,1,7,0.0016675059887347743,0,0,37,0,True,23,6,2,6,0,0
6x6_Suguru-1527,Suguru-1527,6x6,36,8,4.5,1,6,0.0020632000087061897,0,0,40,0,True,22,8,6,4,0,0
6x6_Suguru-1530,Suguru-1530,6x6,36,9,4.0,1,7,0.0023679529986111447,0,0,36,0,True,23,6,0,6,1,0
6x6_Suguru-13,Suguru-13,6x6,36,8,4.5,1,7,0.003545592990121804,0,0,35,0,True,19,10,0,5,1,0
8x8_Suguru-89,Suguru-89,8x8,64,14,4.571428571428571,1,12,0.002004105001105927,0,0,58,0,True,42,10,0,4,2,0
8x8_Suguru-823,Suguru-823,8x8,64,14,4.571428571428571,1,15,0.0032232929952442646,0,0,64,0,True,39,10,4,9,2,0
8x8_Suguru-871,Suguru-871,8x8,64,14,4.571428571428571,1,11,0.003180982996127568,0,0,67,0,True,45,8,3,9,2,0
8x8_Suguru-759,Suguru-759,8x8,64,15,4.266666666666667,1,9,0.0038174259971128777,0,0,74,0,True,43,12,6,13,0,0
8x8_Suguru-322,Suguru-322,8x8,64,15,4.266666666666667,1,10,0.0043733750062529,0,0,70,0,True,37,17,7,8,1,0
8x8_Suguru-1177,Suguru-1177,8x8,64,14,4.571428571428571,2,13,0.007088971993653104,2,1,73,0,True,41,12,5,11,4,0
8x8_Suguru-398,Suguru-398,8x8,64,14,4.571428571428571,2,12,0.005178237988729961,1,1,60,0,True,41,9,0,8,2,0
8x8_Suguru-807,Suguru-807,8x8,64,15,4.266666666666667,2,9,0.02580676000798121,7,3,166,2,True,95,30,16,17,8,0
8x8_Suguru-958,Suguru-958,8x8,64,14,4.571428571428571,2,11,0.015227180003421381,7,4,69,0,True,50,9,3,5,2,0
8x8_Suguru-1380,Suguru-1380,8x8,64,15,4.266666666666667,2,8,0.02217701899644453,9,5,123,0,True,80,20,6,13,4,0
8x8_Suguru-1397,Suguru-1397,8x8,64,14,4.571428571428571,2,14,0.009385547993588261,4,1,71,0,True,45,14,0,12,0,0
8x8_Suguru-1432,Suguru-1432,8x8,64,13,4.923076923076923,1,14,0.005352066000341438,0,0,61,0,True,38,12,3,7,1,0
8x8_Suguru-349,Suguru-349,8x8,64,14,4.571428571428571,2,13,0.029213246001745574,11,6,122,3,True,78,22,4,16,2,0
8x8_Suguru-952,Suguru-952,8x8,64,15,4.266666666666667,2,12,0.00673817700590007,2,1,84,0,True,52,9,14,9,0,0
8x8_Suguru-1122,Suguru-1122,8x8,64,14,4.571428571428571,2,11,0.004970682988641784,1,1,71,0,True,42,9,5,12,3,0
8x8_Suguru-30,Suguru-30,8x8,64,14,4.571428571428571,2,12,0.006774481997126713,1,1,63,0,True,37,13,7,5,1,0
8x8_Suguru-158,Suguru-158,8x8,64,15,4.266666666666667,2,9,0.0052979209867771715,1,1,64,0,True,39,14,2,9,0,0
8x8_Suguru-199,Suguru-199,8x8,64,13,4.923076923076923,2,14,0.07128140900749713,22,7,424,11,True,203,46,108,47,20,0
