,id,tabuleiro,size,numero_regioes,tamanho_medio_regiao,dificuldade,dicas,tempo,nos_visitados,profundidade_maxima,total_podas,backtracks,resolvido,assign_from_singletons,hidden_single,naked_pairs,hidden_pairs,naked_triples,hidden_triples
6x6_Suguru-257,Suguru-257,6x6,36,8,4.5,1,8,0.002324355999007821,0,0,33,0,True,23,5,0,5,0,0
6x6_Suguru-896,Suguru-896,6x6,36,8,4.5,1,9,0.002216164008132182,0,0,30,0,True,24,3,0,3,0,0
6x6_Suguru-914,Suguru-914,6x6,36,8,4.5,1,10,0.001424314992618747,0,0,30,0,True,23,3,0,4,0,0
6x6_Suguru-1301,Suguru-1301,6x6,36,8,4.5,1,7,0.0021409539913292974,0,0,37,0,True,25,4,0,4,4,0
6x6_Suguru-1388,Suguru-1388,6x6,36,8,4.5,1,7,0.0020683710026787594,0,0,38,0,True,22,7,0,5,4,0
6x6_Suguru-1481,Suguru-1481,6x6,36,8,4.5,1,9,0.0021107240027049556,0,0,29,0,True,22,5,0,2,0,0
6x6_Suguru-1589,Suguru-1589,6x6,36,8,4.5,1,8,0.0023592289944645017,0,0,37,0,True,19,9,0,9,0,0
6x6_Suguru-116,Suguru-116,6x6,36,8,4.5,1,8,0.0026279390003765,0,0,34,0,True,22,6,0,6,0,0
6x6_Suguru-240,Suguru-240,6x6,36,8,4.5,1,8,0.00219927700527478,0,0,32,0,True,20,8,0,3,1,0
6x6_Suguru-455,Suguru-455,6x6,36,9,4.0,1,7,0.0019600710074882954,0,0,35,0,True,25,4,0,6,0,0
6x6_Suguru-500,Suguru-500,6x6,36,9,4.0,1,7,0.0018674320017453283,0,0,33,0,True,21,8,0,4,0,0
6x6_Suguru-627,Suguru-627,6x6,36,9,4.0,1,8,0.0031552809959976003,0,0,34,0,True,20,8,0,5,1,0
6x6_Suguru-639,Suguru-639,6x6,36,9,4.0,1,6,0.0016829950036481023,0,0,42,0,True,23,7,0,7,5,0
6x6_Suguru-724,Suguru-724,6x6,36,8,4.5,1,6,0.0017967129970202222,0,0,40,0,True,25,5,0,8,2,0
6x6_Suguru-865,Suguru-865,6x6,36,8,4.5,1,7,0.0023403349914588034,0,0,36,0,True,23,6,0,4,0,3
6x6_Suguru-963,Suguru-963,6x6,36,8,4.5,1,9,0.0020288859959691763,0,0,35,0,True,21,6,0,8,0,0
6x6_Suguru-1084,Suguru-1084,6x6,36,8,4.5,1,7,0.0025824230106081814,0,0,37,0,True,22,7,0,7,1,0
6x6_Suguru-1165,Suguru-1165,6x6,36,9,4.0,1,7,0.0019430789980106056,0,0,38,0,True,21,8,0,4,2,3
6x6_Suguru-1210,Suguru-1210,6x6,36,9,4.0,1,9,0.0021484160097315907,0,0,38,0,True,22,5,0,10,1,0
6x6_Suguru-1280,Suguru-1280,6x6,36,8,4.5,1,7,0.0020405079994816333,0,0,36,0,True,23,6,0,3,4,0
6x6_Suguru-1561,Suguru-1561,6x6,36,9,4.0,1,6,0.0019361949962330982,0,0,36,0,True,21,9,0,6,0,0
6x6_Suguru-1587,Suguru-1587,6x6,36,8,4.5,1,7,0.0025010520039359108,0,0,32,0,True,25,4,0,3,0,0
6x6_Suguru-45,Suguru-45,6x6,36,8,4.5,1,8,0.002625102992169559,0,0,31,0,True,21,7,0,3,0,0
6x6_Suguru-102,Suguru-102,6x6,36,8,4.5,1,7,0.002734410998527892,0,0,34,0,True,21,8,0,5,0,0
6x6_Suguru-238,Suguru-238,6x6,36,8,4.5,1,8,0.003448987001320347,0,0,39,0,True,21,7,0,10,1,0
6x6_Suguru-367,Suguru-367,6x6,36,8,4.5,1,7,0.002711196997552179,0,0,34,0,True,23,6,0,5,0,0
6x6_Suguru-450,Suguru-450,6x6,36,8,4.5,1,8,0.002500438000424765,0,0,34,0,True,18,10,0,6,0,0
6x6_Suguru-498,Suguru-498,6x6,36,8,4.5,1,9,0.0027473809896036983,0,0,34,0,True,21,6,0,7,0,0
6x6_Suguru-506,Suguru-506,6x6,36,9,4.0,1,7,0.003929957005311735,0,0,36,0,True,22,7,0,2,2,3
6x6_Suguru-532,Suguru-532,6x6,36,8,4.5,1,6,0.004462928001885302,0,0,33,0,True,22,8,0,3,0,0
6x6_Suguru-541,Suguru-541,6x6,36,8,4.5,1,8,0.005126338000991382,0,0,33,0,True,20,8,0,4,1,0
6x6_Suguru-544,Suguru-544,6x6,36,8,4.5,1,10,0.00394738299655728,0,0,33,0,True,23,3,0,6,1,0
6x6_Suguru-651,Suguru-651,6x6,36,8,4.5,1,7,0.0049846530018839985,0,0,36,0,True,22,7,0,6,1,0
6x6_Suguru-675,Suguru-675,6x6,36,8,4.5,1,7,0.004336481011705473,0,0,32,0,True,24,5,0,3,0,0
6x6_Suguru-797,Suguru-797,6x6,36,8,4.5,1,6,0.0038812090060673654,0,0,35,0,True,22,8,0,5,0,0
6x6_Suguru-803,Suguru-803,6x6,36,8,4.5,1,7,0.002797231005388312,0,0,36,0,True,21,8,0,7,0,0
6x6_Suguru-838,Suguru-838,6x6,36,9,4.0,1,6,0.0027305329858791083,0,0,37,0,True,22,8,0,7,0,0
6x6_Suguru-1157,Suguru-1157,6x6,36,9,4.0,1,5,0.002770459992461838,0,0,38,0,True,24,7,0,7,0,0
6x6_Suguru-1185,Suguru-1185,6x6,36,8,4.5,1,6,0.004817369001102634,0,0,38,0,True,24,6,0,8,0,0
6x6_Suguru-1199,Suguru-1199,6x6,36,8,4.5,1,7,0.0034560670028440654,0,0,33,0,True,20,9,0,4,0,0
6x6_Suguru-1234,Suguru-1234,6x6,36,9,4.0,1,6,0.0019950989953940734,0,0,45,0,True,26,4,0,10,5,0
6x6_Suguru-1300,Suguru-1300,6x6,36,9,4.0,1,8,0.0025046820082934573,0,0,38,0,True,21,7,0,10,0,0
6x6_Suguru-1339,Suguru-1339,6x6,36,8,4.5,1,7,0.003186091998941265,0,0,35,0,True,23,6,0,6,0,0
6x6_Suguru-1346,Suguru-1346,6x6,36,9,4.0,1,6,0.002563361995271407,0,0,38,0,True,23,7,0,8,0,0
6x6_Suguru-1408,Suguru-1408,6x6,36,8,4.5,1,9,0.001981161010917276,0,0,35,0,True,24,3,0,5,3,0
6x6_Suguru-1420,Suguru-1420,6x6,36,8,4.5,1,6,0.002803463998134248,0,0,35,0,True,23,7,0,5,0,0
6x6_Suguru-1476,Suguru-1476,6x6,36,8,4.5,1,7,0.002568572002928704,0,0,36,0,True,23,6,0,7,0,0
6x6_Suguru-1527,Suguru-1527,6x6,36,8,4.5,1,6,0.0018484979955246672,0,0,36,0,True,22,8,0,6,0,0
6x6_Suguru-1530,Suguru-1530,6x6,36,9,4.0,1,7,0.002557589003117755,0,0,36,0,True,23,6,0,6,1,0
6x6_Suguru-13,Suguru-13,6x6,36,8,4.5,1,7,0.0026615709939505905,0,0,35,0,True,19,10,0,5,1,0
8x8_Suguru-89,Suguru-89,8x8,64,14,4.571428571428571,1,12,0.0036634700081776828,0,0,58,0,True,42,10,0,4,2,0
8x8_Suguru-823,Suguru-823,8x8,64,14,4.571428571428571,1,15,0.005988945995341055,0,0,62,0,True,39,10,0,11,2,0
8x8_Suguru-871,Suguru-871,8x8,64,14,4.571428571428571,1,11,0.00622200699581299,0,0,68,0,True,44,9,0,10,2,3
8x8_Suguru-759,Suguru-759,8x8,64,15,4.266666666666667,1,9,0.007899301999714226,0,0,71,0,True,43,12,0,16,0,0
8x8_Suguru-322,Suguru-322,8x8,64,15,4.266666666666667,1,10,0.007834199990611523,0,0,67,0,True,37,17,0,12,1,0
8x8_Suguru-1177,Suguru-1177,8x8,64,14,4.571428571428571,2,13,0.009045688988408074,2,1,71,0,True,41,12,0,13,4,1
8x8_Suguru-398,Suguru-398,8x8,64,14,4.571428571428571,2,12,0.007916116999695078,1,1,60,0,True,41,9,0,8,2,0
8x8_Suguru-807,Suguru-807,8x8,64,15,4.266666666666667,2,9,0.04186874099832494,7,3,160,2,True,95,30,0,24,8,3
8x8_Suguru-958,Suguru-958,8x8,64,14,4.571428571428571,2,11,0.023761934993672185,7,4,68,0,True,50,9,0,7,2,0
8x8_Suguru-1380,Suguru-1380,8x8,64,15,4.266666666666667,2,8,0.03233684800215997,9,5,120,0,True,80,19,0,15,4,2
8x8_Suguru-1397,Suguru-1397,8x8,64,14,4.571428571428571,2,14,0.015578391990857199,4,1,71,0,True,45,14,0,12,0,0
8x8_Suguru-1432,Suguru-1432,8x8,64,13,4.923076923076923,1,14,0.009139502988546155,0,0,61,0,True,38,12,0,9,1,1
8x8_Suguru-349,Suguru-349,8x8,64,14,4.571428571428571,2,13,0.04372075499850325,11,6,121,3,True,78,22,0,19,2,0
8x8_Suguru-952,Suguru-952,8x8,64,15,4.266666666666667,2,12,0.010318668995751068,2,1,78,0,True,52,9,0,17,0,0
8x8_Suguru-1122,Suguru-1122,8x8,64,14,4.571428571428571,2,11,0.008931236996431835,1,1,72,0,True,43,8,0,15,3,3
8x8_Suguru-30,Suguru-30,8x8,64,14,4.571428571428571,2,12,0.01060981499904301,1,1,63,0,True,37,13,0,9,1,3
8x8_Suguru-158,Suguru-158,8x8,64,15,4.266666666666667,2,9,0.009292934002587572,1,1,63,0,True,39,14,0,10,0,0
8x8_Suguru-199,Suguru-199,8x8,64,13,4.923076923076923,2,14,0.11803003599925432,22,7,384,11,True,203,40,0,109,20,12
8x8_Suguru-493,Suguru-493,8x8,64,15,4.266666666666667,2,7,0.016884915996342897,3,3,61,0,True,40,10,0,9,0,2
8x8_Suguru-531,Suguru-531,8x8,64,14,4.571428571428571,2,11,0.019678245997056365,4,3,83,0,True,54,14,0,13,2,0
8x8_Suguru-618,Suguru-618,8x8,64,13,4.923076923076923,2,13,0.008503295000991784,1,1,67,0,True,44,5,0,15,2,1
8x8_Suguru-752,Suguru-752,8x8,64,15,4.266666666666667,2,7,0.09893636600463651,29,5,512,9,True,363,87,0,58,4,0
8x8_Suguru-774,Suguru-774,8x8,64,15,4.266666666666667,2,7,0.01322549999167677,2,1,105,0,True,66,25,0,11,3,0
8x8_Suguru-906,Suguru-906,8x8,64,14,4.571428571428571,2,10,0.011038433003704995,1,1,64,0,True,41,11,0,9,0,3
8x8_Suguru-1208,Suguru-1208,8x8,64,14,4.571428571428571,2,9,0.026786277987412177,8,4,70,0,True,51,13,0,3,2,1
8x8_Suguru-1271,Suguru-1271,8x8,64,13,4.923076923076923,2,11,0.012302886010729708,1,1,67,0,True,38,13,0,14,2,0
8x8_Suguru-1297,Suguru-1297,8x8,64,14,4.571428571428571,2,10,0.015251090997480787,3,2,57,0,True,46,7,0,3,1,0
8x8_Suguru-21,Suguru-21,8x8,64,14,4.571428571428571,2,10,0.028287113993428648,7,2,145,0,True,100,17,0,27,1,0
8x8_Suguru-112,Suguru-112,8x8,64,14,4.571428571428571,2,8,0.01959284300392028,4,2,91,0,True,57,17,0,15,1,1
8x8_Suguru-834,Suguru-834,8x8,64,13,4.923076923076923,2,15,0.07252128899563104,13,5,345,6,True,215,52,0,59,11,8
8x8_Suguru-888,Suguru-888,8x8,64,14,4.571428571428571,2,12,0.011918002986931242,3,2,62,0,True,38,12,0,11,1,0
8x8_Suguru-1381,Suguru-1381,8x8,64,14,4.571428571428571,3,11,0.016590373998042196,3,1,93,0,True,51,23,0,17,2,0
8x8_Suguru-148,Suguru-148,8x8,64,14,4.571428571428571,2,12,0.013051535002887249,3,3,51,0,True,34,11,0,6,0,0
8x8_Suguru-496,Suguru-496,8x8,64,13,4.923076923076923,3,12,0.011804998997831717,2,1,73,0,True,44,10,0,9,4,6
8x8_Suguru-725,Suguru-725,8x8,64,15,4.266666666666667,2,8,0.024829692993080243,6,4,116,0,True,70,21,0,18,7,0
8x8_Suguru-1142,Suguru-1142,8x8,64,13,4.923076923076923,2,12,0.07777421298669651,16,6,178,4,True,113,39,0,15,9,2
8x8_Suguru-1386,Suguru-1386,8x8,64,14,4.571428571428571,2,8,0.018680684006540105,5,3,78,0,True,42,17,0,12,7,0
8x8_Suguru-1456,Suguru-1456,8x8,64,15,4.266666666666667,3,13,0.019589756993809715,5,4,58,0,True,33,14,0,9,2,0
8x8_Suguru-1562,Suguru-1562,8x8,64,14,4.571428571428571,2,9,0.0626357029977953,15,7,207,3,True,132,41,0,32,2,0
8x8_Suguru-51,Suguru-51,8x8,64,15,4.266666666666667,2,6,0.027524329998414032,7,5,108,0,True,59,23,0,16,5,5
8x8_Suguru-259,Suguru-259,8x8,64,13,4.923076923076923,3,11,0.013176972002838738,2,1,68,0,True,37,16,0,14,1,0
8x8_Suguru-292,Suguru-292,8x8,64,14,4.571428571428571,2,10,0.13876941899070516,20,7,735,11,True,510,79,0,103,31,12
8x8_Suguru-461,Suguru-461,8x8,64,15,4.266666666666667,2,11,0.01929124399612192,4,3,87,0,True,57,15,0,13,2,0
8x8_Suguru-586,Suguru-586,8x8,64,14,4.571428571428571,2,9,0.08936747399275191,21,9,205,8,True,151,29,0,18,7,0
8x8_Suguru-771,Suguru-771,8x8,64,15,4.266666666666667,2,7,0.013203626003814861,3,3,63,0,True,38,12,0,11,2,0
8x8_Suguru-890,Suguru-890,8x8,64,15,4.266666666666667,2,9,0.018822218000423163,4,4,57,0,True,37,10,0,10,0,0
8x8_Suguru-1119,Suguru-1119,8x8,64,14,4.571428571428571,3,13,0.02302384900394827,6,4,97,0,True,66,10,0,15,6,0
8x8_Suguru-1160,Suguru-1160,8x8,64,14,4.571428571428571,2,7,0.03430947299057152,10,5,137,0,True,59,12,0,10,7,49
8x8_Suguru-1452,Suguru-1452,8x8,64,14,4.571428571428571,2,9,0.03137558899470605,8,4,93,0,True,65,10,0,10,8,0
8x8_Suguru-1490,Suguru-1490,8x8,64,13,4.923076923076923,2,15,0.012964239009306766,2,1,75,0,True,48,15,0,12,0,0
15x10n=6_Suguru-487,Suguru-487,15x10n=6,150,25,6.0,3,49,0.06825948000187054,4,3,130,0,True,85,18,0,21,6,0
15x10n=6_Suguru-15,Suguru-15,15x10n=6,150,27,5.555555555555555,2,41,0.12465131899807602,10,5,142,1,True,89,24,0,28,1,0
15x10n=6_Suguru-456,Suguru-456,15x10n=6,150,27,5.555555555555555,2,41,0.13536709098843858,8,4,212,1,True,122,39,0,43,8,0
