,id,tabuleiro,size,numero_regioes,tamanho_medio_regiao,dificuldade,dicas,tempo,nos_visitados,profundidade_maxima,total_podas,backtracks,resolvido,assign_from_singletons,hidden_single,naked_pairs,hidden_pairs,naked_triples,hidden_triples
6x6_Suguru-257,Suguru-257,6x6,36,8,4.5,1,8,0.001705467002466321,0,0,34,0,True,23,5,2,4,0,0
6x6_Suguru-896,Suguru-896,6x6,36,8,4.5,1,9,0.0016362089954782277,0,0,31,0,True,24,3,2,2,0,0
6x6_Suguru-914,Suguru-914,6x6,36,8,4.5,1,10,0.0013343210011953488,0,0,30,0,True,23,3,0,4,0,0
6x6_Suguru-1301,Suguru-1301,6x6,36,8,4.5,1,7,0.0015848420007387176,0,0,37,0,True,25,4,0,4,0,4
6x6_Suguru-1388,Suguru-1388,6x6,36,8,4.5,1,7,0.0015603700012434274,0,0,38,0,True,22,7,0,5,0,4
6x6_Suguru-1481,Suguru-1481,6x6,36,8,4.5,1,9,0.0020701269968412817,0,0,30,0,True,22,5,2,1,0,0
6x6_Suguru-1589,Suguru-1589,6x6,36,8,4.5,1,8,0.0014756160089746118,0,0,38,0,True,19,9,5,5,0,0
6x6_Suguru-116,Suguru-116,6x6,36,8,4.5,1,8,0.0021424639999167994,0,0,36,0,True,22,6,4,4,0,0
6x6_Suguru-240,Suguru-240,6x6,36,8,4.5,1,8,0.0016130049916682765,0,0,33,0,True,20,8,2,2,0,1
6x6_Suguru-455,Suguru-455,6x6,36,9,4.0,1,7,0.0015064329927554354,0,0,35,0,True,25,4,0,6,0,0
6x6_Suguru-500,Suguru-500,6x6,36,9,4.0,1,7,0.001518940000096336,0,0,35,0,True,21,8,4,2,0,0
6x6_Suguru-627,Suguru-627,6x6,36,9,4.0,1,8,0.002142445999197662,0,0,36,0,True,20,8,4,3,0,1
6x6_Suguru-639,Suguru-639,6x6,36,9,4.0,1,6,0.0014483459963230416,0,0,41,0,True,23,7,0,7,0,4
6x6_Suguru-724,Suguru-724,6x6,36,8,4.5,1,6,0.001397840998833999,0,0,40,0,True,25,5,0,8,0,2
6x6_Suguru-865,Suguru-865,6x6,36,8,4.5,1,7,0.0017951140034710988,0,0,36,0,True,23,6,0,4,0,3
6x6_Suguru-963,Suguru-963,6x6,36,8,4.5,1,9,0.0015503179893130437,0,0,35,0,True,21,6,0,8,0,0
6x6_Suguru-1084,Suguru-1084,6x6,36,8,4.5,1,7,0.0020156530081294477,0,0,39,0,True,22,7,5,4,0,1
6x6_Suguru-1165,Suguru-1165,6x6,36,9,4.0,1,7,0.001972876998479478,0,0,36,0,True,21,8,0,4,0,3
6x6_Suguru-1210,Suguru-1210,6x6,36,9,4.0,1,9,0.0014271279942477122,0,0,39,0,True,22,5,4,7,0,1
6x6_Suguru-1280,Suguru-1280,6x6,36,8,4.5,1,7,0.001684003000264056,0,0,36,0,True,23,6,0,3,0,4
6x6_Suguru-1561,Suguru-1561,6x6,36,9,4.0,1,6,0.0014623419992858544,0,0,37,0,True,21,9,3,4,0,0
6x6_Suguru-1587,Suguru-1587,6x6,36,8,4.5,1,7,0.0016046620003180578,0,0,32,0,True,25,4,0,3,0,0
6x6_Suguru-45,Suguru-45,6x6,36,8,4.5,1,8,0.0021280639921315014,0,0,31,0,True,21,7,0,3,0,0
6x6_Suguru-102,Suguru-102,6x6,36,8,4.5,1,7,0.0020762299973284826,0,0,37,0,True,21,8,5,3,0,0
6x6_Suguru-238,Suguru-238,6x6,36,8,4.5,1,8,0.0026541590050328523,0,0,39,0,True,21,7,0,10,0,1
6x6_Suguru-367,Suguru-367,6x6,36,8,4.5,1,7,0.0020825510000577196,0,0,34,0,True,23,6,0,5,0,0
6x6_Suguru-450,Suguru-450,6x6,36,8,4.5,1,8,0.002021594002144411,0,0,34,0,True,18,10,0,6,0,0
6x6_Suguru-498,Suguru-498,6x6,36,8,4.5,1,9,0.002483259013388306,0,0,36,0,True,21,6,4,5,0,0
6x6_Suguru-506,Suguru-506,6x6,36,9,4.0,1,7,0.0017755070002749562,0,0,37,0,True,22,7,2,1,0,5
6x6_Suguru-532,Suguru-532,6x6,36,8,4.5,1,6,0.002110642002662644,0,0,35,0,True,22,8,4,1,0,0
6x6_Suguru-541,Suguru-541,6x6,36,8,4.5,1,8,0.002891862008254975,0,0,34,0,True,20,8,2,3,0,1
6x6_Suguru-544,Suguru-544,6x6,36,8,4.5,1,10,0.0027594819985097274,0,0,33,0,True,23,3,0,6,0,1
6x6_Suguru-651,Suguru-651,6x6,36,8,4.5,1,7,0.0035631380014820024,0,0,37,0,True,22,7,2,5,0,1
6x6_Suguru-675,Suguru-675,6x6,36,8,4.5,1,7,0.003257042000768706,0,0,33,0,True,24,5,2,2,0,0
6x6_Suguru-797,Suguru-797,6x6,36,8,4.5,1,6,0.0034127839899156243,0,0,36,0,True,22,8,2,4,0,0
6x6_Suguru-803,Suguru-803,6x6,36,8,4.5,1,7,0.003573460999177769,0,0,36,0,True,21,8,0,7,0,0
6x6_Suguru-838,Suguru-838,6x6,36,9,4.0,1,6,0.0033387470029992983,0,0,38,0,True,22,8,2,6,0,0
6x6_Suguru-1157,Suguru-1157,6x6,36,9,4.0,1,5,0.002408803004072979,0,0,39,0,True,24,7,3,5,0,0
6x6_Suguru-1185,Suguru-1185,6x6,36,8,4.5,1,6,0.0033254430018132553,0,0,39,0,True,24,6,2,7,0,0
6x6_Suguru-1199,Suguru-1199,6x6,36,8,4.5,1,7,0.0021855700033484027,0,0,35,0,True,20,9,4,2,0,0
6x6_Suguru-1234,Suguru-1234,6x6,36,9,4.0,1,6,0.0018094970000674948,0,0,47,0,True,26,4,4,8,0,5
6x6_Suguru-1300,Suguru-1300,6x6,36,9,4.0,1,8,0.0018350030004512519,0,0,40,0,True,21,7,4,8,0,0
6x6_Suguru-1339,Suguru-1339,6x6,36,8,4.5,1,7,0.002134547001332976,0,0,35,0,True,23,6,0,6,0,0
6x6_Suguru-1346,Suguru-1346,6x6,36,9,4.0,1,6,0.001978345011593774,0,0,40,0,True,23,7,4,6,0,0
6x6_Suguru-1408,Suguru-1408,6x6,36,8,4.5,1,9,0.001520624995464459,0,0,37,0,True,24,3,4,3,0,3
6x6_Suguru-1420,Suguru-1420,6x6,36,8,4.5,1,6,0.002415830997051671,0,0,36,0,True,23,7,2,4,0,0
6x6_Suguru-1476,Suguru-1476,6x6,36,8,4.5,1,7,0.0020016220078105107,0,0,37,0,True,23,6,2,6,0,0
6x6_Suguru-1527,Suguru-1527,6x6,36,8,4.5,1,6,0.0014795750030316412,0,0,40,0,True,22,8,6,4,0,0
6x6_Suguru-1530,Suguru-1530,6x6,36,9,4.0,1,7,0.002832447993569076,0,0,36,0,True,23,6,0,6,0,1
6x6_Suguru-13,Suguru-13,6x6,36,8,4.5,1,7,0.0023738789896015078,0,0,35,0,True,19,10,0,5,0,1
8x8_Suguru-89,Suguru-89,8x8,64,14,4.571428571428571,1,12,0.0026752730045700446,0,0,58,0,True,42,10,0,4,0,2
8x8_Suguru-823,Suguru-823,8x8,64,14,4.571428571428571,1,15,0.0040628479910083115,0,0,64,0,True,39,10,4,9,0,2
8x8_Suguru-871,Suguru-871,8x8,64,14,4.571428571428571,1,11,0.00439812800323125,0,0,70,0,True,44,9,3,9,0,5
8x8_Suguru-759,Suguru-759,8x8,64,15,4.266666666666667,1,9,0.004816684013349004,0,0,74,0,True,43,12,6,13,0,0
8x8_Suguru-322,Suguru-322,8x8,64,15,4.266666666666667,1,10,0.005730714008677751,0,0,70,0,True,37,17,7,8,0,1
8x8_Suguru-1177,Suguru-1177,8x8,64,14,4.571428571428571,2,13,0.008625053000287153,1,1,68,1,True,38,12,5,11,0,2
8x8_Suguru-398,Suguru-398,8x8,64,14,4.571428571428571,2,12,0.005501335996086709,1,1,60,0,True,41,9,0,8,0,2
8x8_Suguru-807,Suguru-807,8x8,64,15,4.266666666666667,2,9,0.030813434001174755,7,3,153,2,True,88,29,16,17,0,3
8x8_Suguru-958,Suguru-958,8x8,64,14,4.571428571428571,2,11,0.018933995990664698,7,4,69,0,True,50,9,3,5,0,2
8x8_Suguru-1380,Suguru-1380,8x8,64,15,4.266666666666667,2,8,0.025910194002790377,9,5,124,0,True,78,19,6,13,0,8
8x8_Suguru-1397,Suguru-1397,8x8,64,14,4.571428571428571,2,14,0.01125655899522826,4,1,71,0,True,45,14,0,12,0,0
8x8_Suguru-1432,Suguru-1432,8x8,64,13,4.923076923076923,1,14,0.0066209950018674135,0,0,62,0,True,38,12,3,7,0,2
8x8_Suguru-349,Suguru-349,8x8,64,14,4.571428571428571,2,13,0.03626808901026379,11,6,122,3,True,77,22,4,16,0,3
8x8_Suguru-952,Suguru-952,8x8,64,15,4.266666666666667,2,12,0.0072480740054743364,2,1,84,0,True,52,9,14,9,0,0
8x8_Suguru-1122,Suguru-1122,8x8,64,14,4.571428571428571,2,11,0.006586905990843661,1,1,74,0,True,43,8,5,12,0,6
8x8_Suguru-30,Suguru-30,8x8,64,14,4.571428571428571,2,12,0.008193349000066519,1,1,66,0,True,37,13,7,5,0,4
8x8_Suguru-158,Suguru-158,8x8,64,15,4.266666666666667,2,9,0.006404515006579459,1,1,64,0,True,39,14,2,9,0,0
8x8_Suguru-199,Suguru-199,8x8,64,13,4.923076923076923,2,14,0.07894680699973833,22,7,364,13,True,149,30,108,39,0,38
8x8_Suguru-493,Suguru-493,8x8,64,15,4.266666666666667,2,7,0.016407911010901444,3,3,62,0,True,40,10,3,7,0,2
8x8_Suguru-531,Suguru-531,8x8,64,14,4.571428571428571,2,11,0.014882920004311018,4,3,85,0,True,54,14,5,10,0,2
8x8_Suguru-618,Suguru-618,8x8,64,13,4.923076923076923,2,13,0.006557048996910453,1,1,69,0,True,44,5,5,13,0,2
8x8_Suguru-752,Suguru-752,8x8,64,15,4.266666666666667,2,7,0.07789282900921535,29,5,515,9,True,365,85,14,51,0,0
8x8_Suguru-774,Suguru-774,8x8,64,15,4.266666666666667,2,7,0.00968381599523127,2,1,109,0,True,66,25,7,8,0,3
8x8_Suguru-906,Suguru-906,8x8,64,14,4.571428571428571,2,10,0.008287470001960173,1,1,65,0,True,41,11,4,6,0,3
8x8_Suguru-1208,Suguru-1208,8x8,64,14,4.571428571428571,2,9,0.020535198011202738,8,4,68,0,True,51,13,0,3,0,1
8x8_Suguru-1271,Suguru-1271,8x8,64,13,4.923076923076923,2,11,0.010466965002706274,1,1,69,0,True,38,13,4,12,0,2
8x8_Suguru-1297,Suguru-1297,8x8,64,14,4.571428571428571,2,10,0.012114563010982238,3,2,57,0,True,46,7,0,3,0,1
8x8_Suguru-21,Suguru-21,8x8,64,14,4.571428571428571,2,10,0.021164170990232378,7,2,147,0,True,100,17,4,25,0,1
8x8_Suguru-112,Suguru-112,8x8,64,14,4.571428571428571,2,8,0.015565954003250226,4,2,95,0,True,57,17,5,15,0,1
8x8_Suguru-834,Suguru-834,8x8,64,13,4.923076923076923,2,15,0.054079345005447976,13,5,360,6,True,207,51,58,33,0,11
8x8_Suguru-888,Suguru-888,8x8,64,14,4.571428571428571,2,12,0.009887214997434057,3,2,65,0,True,38,12,6,8,0,1
8x8_Suguru-1381,Suguru-1381,8x8,64,14,4.571428571428571,3,11,0.013106947008054703,3,1,94,0,True,51,23,2,16,0,2
8x8_Suguru-148,Suguru-148,8x8,64,14,4.571428571428571,2,12,0.010262352006975561,3,3,53,0,True,34,11,5,3,0,0
8x8_Suguru-496,Suguru-496,8x8,64,13,4.923076923076923,3,12,0.008738441989407875,2,1,78,0,True,44,10,10,7,0,7
8x8_Suguru-725,Suguru-725,8x8,64,15,4.266666666666667,2,8,0.03263735299697146,6,4,113,0,True,63,21,18,9,0,2
8x8_Suguru-1142,Suguru-1142,8x8,64,13,4.923076923076923,2,12,0.0679374790051952,16,6,172,4,True,110,40,8,11,0,3
8x8_Suguru-1386,Suguru-1386,8x8,64,14,4.571428571428571,2,8,0.015268391987774521,5,3,74,0,True,41,18,2,10,0,3
8x8_Suguru-1456,Suguru-1456,8x8,64,15,4.266666666666667,3,13,0.01547819099505432,5,4,60,0,True,33,14,5,6,0,2
8x8_Suguru-1562,Suguru-1562,8x8,64,14,4.571428571428571,2,9,0.04845973399642389,15,7,214,3,True,134,39,10,29,0,2
8x8_Suguru-51,Suguru-51,8x8,64,15,4.266666666666667,2,6,0.022061886003939435,6,5,96,1,True,46,21,6,13,0,10
8x8_Suguru-259,Suguru-259,8x8,64,13,4.923076923076923,3,11,0.009509030991466716,2,1,69,0,True,36,17,5,11,0,0
8x8_Suguru-292,Suguru-292,8x8,64,14,4.571428571428571,2,10,0.10591903499152977,20,7,682,13,True,475,72,25,90,0,20
8x8_Suguru-461,Suguru-461,8x8,64,15,4.266666666666667,2,11,0.01457612200465519,4,3,88,0,True,57,15,3,11,0,2
8x8_Suguru-586,Suguru-586,8x8,64,14,4.571428571428571,2,9,0.06828494901128579,21,9,189,9,True,141,29,4,14,0,1
8x8_Suguru-771,Suguru-771,8x8,64,15,4.266666666666667,2,7,0.010067244002129883,3,3,64,0,True,38,12,2,10,0,2
8x8_Suguru-890,Suguru-890,8x8,64,15,4.266666666666667,2,9,0.014469372006715275,4,4,59,0,True,37,10,4,8,0,0
8x8_Suguru-1119,Suguru-1119,8x8,64,14,4.571428571428571,3,13,0.01831392600433901,6,4,93,0,True,66,10,6,11,0,0
8x8_Suguru-1160,Suguru-1160,8x8,64,14,4.571428571428571,2,7,0.027400537001085468,9,5,113,1,True,49,6,8,5,0,45
8x8_Suguru-1452,Suguru-1452,8x8,64,14,4.571428571428571,2,9,0.022712121994118206,7,4,78,1,True,55,8,6,8,0,1
8x8_Suguru-1490,Suguru-1490,8x8,64,13,4.923076923076923,2,15,0.009097529997234233,2,1,76,0,True,48,15,2,11,0,0
15x10n=6_Suguru-487,Suguru-487,15x10n=6,150,25,6.0,3,49,0.045643410994671285,4,3,130,0,True,81,18,6,21,0,4
15x10n=6_Suguru-15,Suguru-15,15x10n=6,150,27,5.555555555555555,2,41,0.0846957489993656,10,5,143,1,True,89,24,4,25,0,1
15x10n=6_Suguru-456,Suguru-456,15x10n=6,150,27,5.555555555555555,2,41,0.08669764100341126,8,4,197,1,True,110,36,7,39,0,5
15x10n=6_Suguru-525,Suguru-525,15x10n=6,150,26,5.769230769230769,3,47,1.2323127050040057,83,7,2487,94,True,1185,244,489,429,0,140
15x10n=6_Suguru-679,Suguru-679,15x10n=6,150,27,5.555555555555555,3,43,0.21609077899483964,29,13,351,2,True,182,55,26,66,0,22
15x10n=6_Suguru-775,Suguru-775,15x10n=6,150,27,5.555555555555555,3,38,0.1816731129947584,24,10,296,3,True,127,47,86,32,0,4
15x10n=6_Suguru-26,Suguru-26,15x10n=6,150,26,5.769230769230769,3,45,0.07928672099660616,10,8,159,1,True,93,27,11,22,0,6
15x10n=6_Suguru-332,Suguru-332,15x10n=6,150,26,5.769230769230769,3,41,3.7778516660036985,381,9,8709,228,True,5072,854,832,1369,0,582
15x10n=6_Suguru-592,Suguru-592,15x10n=6,150,26,5.769230769230769,3,45,0.11478084800182842,13,6,192,3,True,117,35,11,26,0,3
15x10n=6_Suguru-399,Suguru-399,15x10n=6,150,27,5.555555555555555,3,49,0.05151264100277331,5,4,145,1,True,81,24,19,13,0,8
15x10n=6_Suguru-458,Suguru-458,15x10n=6,150,28,5.357142857142857,3,39,0.10977690300205722,13,11,146,2,True,78,35,17,13,0,3
15x10n=6_Suguru-567,Suguru-567,15x10n=6,150,27,5.555555555555555,3,41,0.6604526349983644,86,13,709,36,True,396,95,43,141,0,34
15x10n=6_Suguru-693,Suguru-693,15x10n=6,150,26,5.769230769230769,3,47,0.08459072999539785,10,10,102,1,True,56,23,8,10,0,5
15x10n=6_Suguru-314,Suguru-314,15x10n=6,150,27,5.555555555555555,3,42,0.245728017995134,33,9,345,11,True,180,81,34,41,0,9
15x10n=6_Suguru-512,Suguru-512,15x10n=6,150,26,5.769230769230769,3,47,0.37938911400851794,49,12,528,14,True,306,73,98,48,0,3
15x10n=6_Suguru-722,Suguru-722,15x10n=6,150,27,5.555555555555555,2,43,0.1433797140052775,11,4,484,3,True,252,67,55,91,0,19
15x10n=6_Suguru-21,Suguru-21,15x10n=6,150,28,5.357142857142857,2,40,0.212486396994791,27,11,303,6,True,180,40,51,31,0,1
15x10n=6_Suguru-91,Suguru-91,15x10n=6,150,27,5.555555555555555,3,40,0.1661244720016839,18,11,229,1,True,143,26,14,34,0,12
15x10n=6_Suguru-123,Suguru-123,15x10n=6,150,27,5.555555555555555,3,40,0.61429092301114,69,12,1067,31,True,649,155,112,101,0,50
15x10n=6_Suguru-620,Suguru-620,15x10n=6,150,27,5.555555555555555,3,40,0.0907169510028325,9,6,210,0,True,120,34,23,28,0,5
15x10n=6_Suguru-629,Suguru-629,15x10n=6,150,27,5.555555555555555,2,43,0.09750183099822607,11,5,152,3,True,103,29,4,15,0,1
15x10n=6_Suguru-733,Suguru-733,15x10n=6,150,26,5.769230769230769,3,44,0.254324194000219,29,8,358,9,True,203,61,36,49,0,9
15x10n=6_Suguru-794,Suguru-794,15x10n=6,150,27,5.555555555555555,3,43,0.09051831100077834,11,7,186,1,True,87,29,32,20,0,18
15x10n=6_Suguru-95,Suguru-95,15x10n=6,150,26,5.769230769230769,3,44,0.0981768199999351,13,8,147,0,True,82,21,4,38,0,2
15x10n=6_Suguru-140,Suguru-140,15x10n=6,150,27,5.555555555555555,3,42,4.718192648011609,487,14,7632,308,True,4912,877,758,913,0,172
15x10n=6_Suguru-290,Suguru-290,15x10n=6,150,27,5.555555555555555,3,44,0.34933917300077155,45,10,539,17,True,231,88,157,59,0,4
15x10n=6_Suguru-660,Suguru-660,15x10n=6,150,26,5.769230769230769,3,43,0.759334618007415,99,10,993,31,True,702,79,67,112,0,33
15x10n=6_Suguru-675,Suguru-675,15x10n=6,150,28,5.357142857142857,3,44,0.06498101599572692,7,5,144,1,True,85,30,4,16,0,9
15x10n=6_Suguru-742,Suguru-742,15x10n=6,150,26,5.769230769230769,3,44,0.7833081559947459,95,13,727,45,True,409,127,16,80,0,95
15x10n=6_Suguru-799,Suguru-799,15x10n=6,150,26,5.769230769230769,3,49,0.08735692499612924,10,7,128,0,True,77,30,8,11,0,2
15x10n=6_Suguru-149,Suguru-149,15x10n=6,150,27,5.555555555555555,3,49,0.13939251599367708,15,9,313,1,True,183,62,23,33,0,12
15x10n=6_Suguru-338,Suguru-338,15x10n=6,150,26,5.769230769230769,2,38,0.20650726700841915,22,9,311,6,True,186,54,23,38,0,10
15x10n=6_Suguru-343,Suguru-343,15x10n=6,150,27,5.555555555555555,3,40,0.8852890510024736,114,10,1697,59,True,481,99,1019,78,0,20
15x10n=6_Suguru-413,Suguru-413,15x10n=6,150,26,5.769230769230769,3,48,0.0985775049921358,13,10,202,0,True,120,27,20,19,0,16
15x10n=6_Suguru-481,Suguru-481,15x10n=6,150,27,5.555555555555555,3,38,0.5260041069996078,54,14,678,31,True,419,93,29,90,0,47
15x10n=6_Suguru-649,Suguru-649,15x10n=6,150,26,5.769230769230769,2,39,0.1772365670040017,22,12,342,3,True,116,39,134,46,0,7
15x10n=6_Suguru-690,Suguru-690,15x10n=6,150,26,5.769230769230769,3,44,1.1845371229865123,122,11,1812,70,True,1031,275,135,354,0,17
15x10n=6_Suguru-59,Suguru-59,15x10n=6,150,26,5.769230769230769,3,48,0.23859278799500316,26,10,458,4,True,247,61,57,76,0,17
