,id,tabuleiro,size,numero_regioes,tamanho_medio_regiao,dificuldade,dicas,tempo,nos_visitados,profundidade_maxima,total_podas,backtracks,resolvido,assign_from_singletons,hidden_single,naked_pairs,hidden_pairs,naked_triples,hidden_triples
6x6_Suguru-257,Suguru-257,6x6,36,8,4.5,1,8,0.011298798010102473,8,8,21,0,True,0,15,0,5,1,0
6x6_Suguru-896,Suguru-896,6x6,36,8,4.5,1,9,0.011812855998869054,8,8,30,1,True,0,15,0,11,3,1
6x6_Suguru-914,Suguru-914,6x6,36,8,4.5,1,10,0.01129336899612099,8,8,15,0,True,0,15,0,0,0,0
6x6_Suguru-1301,Suguru-1301,6x6,36,8,4.5,1,7,0.03598391301056836,17,8,118,10,True,0,36,0,44,12,26
6x6_Suguru-1388,Suguru-1388,6x6,36,8,4.5,1,7,0.010818056995049119,8,8,30,0,True,0,17,0,9,1,3
6x6_Suguru-1481,Suguru-1481,6x6,36,8,4.5,1,9,0.013660281998454593,8,8,25,0,True,0,15,0,10,0,0
6x6_Suguru-1589,Suguru-1589,6x6,36,8,4.5,1,8,0.01143300200055819,8,8,24,0,True,0,16,3,5,0,0
6x6_Suguru-116,Suguru-116,6x6,36,8,4.5,1,8,0.012364898997475393,8,8,24,0,True,0,15,2,7,0,0
6x6_Suguru-240,Suguru-240,6x6,36,8,4.5,1,8,0.012434213000233285,8,8,28,0,True,0,19,0,9,0,0
6x6_Suguru-455,Suguru-455,6x6,36,9,4.0,1,7,0.012557968002511188,9,9,32,0,True,0,12,8,10,2,0
6x6_Suguru-500,Suguru-500,6x6,36,9,4.0,1,7,0.014891635000822134,9,9,23,0,True,0,17,0,6,0,0
6x6_Suguru-627,Suguru-627,6x6,36,9,4.0,1,8,0.016635281004710123,9,9,18,0,True,0,14,0,4,0,0
6x6_Suguru-639,Suguru-639,6x6,36,9,4.0,1,6,0.013619193006888963,9,9,34,0,True,0,17,0,7,0,10
6x6_Suguru-724,Suguru-724,6x6,36,8,4.5,1,6,0.012191547997645102,8,8,38,0,True,0,13,16,9,0,0
6x6_Suguru-865,Suguru-865,6x6,36,8,4.5,1,7,0.012461238002288155,8,8,34,0,True,0,19,0,5,1,9
6x6_Suguru-963,Suguru-963,6x6,36,8,4.5,1,9,0.012744217994622886,8,8,35,0,True,0,12,1,17,5,0
6x6_Suguru-1084,Suguru-1084,6x6,36,8,4.5,1,7,0.01044884200382512,8,8,26,0,True,0,20,2,3,1,0
6x6_Suguru-1165,Suguru-1165,6x6,36,9,4.0,1,7,0.011252265001530759,9,9,18,0,True,0,15,0,3,0,0
6x6_Suguru-1210,Suguru-1210,6x6,36,9,4.0,1,9,0.013691686996025965,9,9,34,0,True,0,14,2,18,0,0
6x6_Suguru-1280,Suguru-1280,6x6,36,8,4.5,1,7,0.01184477900096681,8,8,22,0,True,0,17,0,5,0,0
6x6_Suguru-1561,Suguru-1561,6x6,36,9,4.0,1,6,0.012324298993917182,9,9,17,0,True,0,16,0,1,0,0
6x6_Suguru-1587,Suguru-1587,6x6,36,8,4.5,1,7,0.01357126800576225,8,8,35,0,True,0,20,2,9,1,3
6x6_Suguru-45,Suguru-45,6x6,36,8,4.5,1,8,0.014849728002445772,8,8,41,1,True,0,13,0,11,4,13
6x6_Suguru-102,Suguru-102,6x6,36,8,4.5,1,7,0.013483468006597832,8,8,35,0,True,0,14,0,8,0,13
6x6_Suguru-238,Suguru-238,6x6,36,8,4.5,1,8,0.01257225900189951,8,8,27,0,True,0,15,4,7,1,0
6x6_Suguru-367,Suguru-367,6x6,36,8,4.5,1,7,0.012910299992654473,8,8,33,0,True,0,16,0,11,0,6
6x6_Suguru-450,Suguru-450,6x6,36,8,4.5,1,8,0.009593454000423662,8,8,19,0,True,0,15,0,3,1,0
